p_median,p_lb95,p_ub95,p_lb68,p_ub68
5.09587728786518,4.5364326593596,5.7437179012989,4.78938469668004,5.44254838830052
4.90526642364756,4.38757174224968,5.53088612930733,4.63004626626541,5.22413253872321
4.67016089351733,4.15318544391543,5.24025879347376,4.41458523707951,4.96014795305572
4.54612434881843,3.88283647931505,5.12128992728693,4.25781758246536,4.83110307042359
4.37914593966065,3.60007851052025,4.99789494168813,3.97439127678549,4.69230198447745
4.00261324353164,3.27201624424243,4.65052443475356,3.55995098955782,4.35330123923242
3.60650294917678,3.10095538826332,4.27372591948606,3.28764093024208,3.99960559552212
3.40288203499783,3.01460497904554,4.08606992052186,3.16633769980443,3.80611696226298
3.28080553634711,2.94513741669273,3.94099092407743,3.0886334499608,3.65293967832635
3.16676965081779,2.86226150251811,3.75206500415995,2.9943014629303,3.47173799966319
2.99896257934902,2.7249250968981,3.4754369890835,2.85194004226815,3.23279045135554
2.83368437540934,2.59291927262529,3.21813732705848,2.70630386278797,3.00690483819589
2.68661548583688,2.46679122039319,2.98944315732088,2.57480111544272,2.81825220048696
2.51420411719662,2.31726938032905,2.75558921935547,2.41467816214182,2.62401046293571
2.3767381563694,2.20015370590571,2.58018360482656,2.28707931638856,2.47682073445379
2.25847568044933,2.08927339244416,2.44594893097102,2.16784942446851,2.35553377128072
2.1169904047222,1.94411299051957,2.31233681326154,2.02440305441993,2.21534288169639
1.99669847290041,1.82142791561652,2.20357519708909,1.90086813487746,2.09914132431886
1.83553850787364,1.65824554552523,2.0362520741975,1.74162901737843,1.93586797957464
1.6106473208738,1.4529251417936,1.80117161135402,1.52601464592314,1.70370010780577
1.45181551870343,1.30369995017881,1.63349578272372,1.37156984315216,1.5410988239623
1.37110533810972,1.22646463426429,1.55172513098813,1.29298215758799,1.46061249707507
1.31758194647254,1.17620272556851,1.49515603774232,1.24204292384605,1.40668867240836
1.28546715584609,1.13730199503077,1.46540758660172,1.20820270018599,1.37514593095204
1.17524590083107,1.02713564530151,1.35331272797361,1.09977646839761,1.26602415634724
1.01203225424539,0.88771939090779,1.17601353656053,0.945773184182717,1.0943529046786
1.03449799925431,0.903369961200319,1.2089895879536,0.964377567646048,1.1208663916956
1.07771074787157,0.936034861180858,1.26160406993267,0.9989078582042,1.16897352300379
