t,p,sd_p,lsd_p,tc,mld,dmld,light,n0
830.256916,3.465397736,1.369093434,0.380839774,826,32.30607986,0.343676567,77.12138445,1.85352656
838.298668,3.241562264,1.103111698,0.331023894,834,35.0554924,0.357612133,81.52866683,2.124591946
846.296134,2.749377358,1.235226264,0.428789372,842,37.91638947,0.357612133,89.9071069,2.376800815
854.338252,3.836873962,1.136819925,0.290077576,850,40.77728653,0.204620361,91.85513056,2.607114286
862.380004,3.141378868,1.302248302,0.398224595,858,42.41424942,-0.866319656,95.33928233,2.817841922
870.37747,3.731058868,1.534276075,0.395264419,866,35.48369217,-0.866319895,97.47629336,2.913207825
878.419588,3.793017358,1.515914113,0.384948064,874,28.55313301,-0.866319895,105.924998,3.036418474
886.416688,4.55416,1.634223547,0.348032117,882,21.62257385,-0.692479849,114.930973,3.220218692
894.458806,5.01421283,1.391707774,0.272419356,890,16.08273506,-0.17095983,121.373504,3.268664929
902.455906,4.742350943,1.347521208,0.278648789,898,14.71505642,-0.170959711,126.3404798,3.222277037
910.498024,5.243836981,1.857802868,0.343863433,906,13.34737873,-0.17095983,122.5607324,3.161227614
918.49549,5.033433208,1.679762717,0.324951175,914,11.97970009,-0.087097764,125.99158,3.13032776
926.537242,4.264824151,1.595119396,0.361843958,922,11.28291798,-0.003235936,133.3354354,3.219528989
934.57936,4.077261132,1.140656151,0.274506973,930,11.25703049,-0.003235817,141.9779732,3.300023548
942.576826,2.933565283,0.949083019,0.315508295,938,11.23114395,-0.003235936,125.136291,3.380511415
950.618578,2.404911698,0.814014189,0.329343957,946,11.20525646,0.12216568,118.9069765,3.430934294
958.616044,2.567024151,1.008849962,0.378979796,954,12.1825819,0.19740665,115.5609309,3.418717726
966.657796,2.575373585,0.876294642,0.330984043,962,13.7618351,0.19740665,116.355647,3.398977061
974.655262,2.398495094,1.076677434,0.428459941,970,15.34108829,0.19740665,107.9311716,3.379236396
982.69738,2.191623396,1.052925434,0.455715119,978,16.92034149,0.242331743,94.41857463,4.060550829
990.69448,2.672250566,1.160246792,0.415577677,986,18.85899544,0.257306576,86.40841764,5.44121951
998.736598,2.482538868,1.114592453,0.428525979,994,20.91744804,0.257306576,75.3526565,6.829110008
1006.734064,2.428890566,1.156198943,0.451930943,1002,22.97590065,0.257306576,66.56716671,8.201494897
1014.775816,1.924608302,0.633520906,0.320740216,1010,25.03435326,-0.008727789,60.42023136,7.925377933
1022.817934,2.104704906,0.82987366,0.380138947,1018,24.96453094,-0.008727551,53.05699267,7.136719384
1030.815034,2.105646792,1.020523925,0.45933281,1026,24.89471054,-0.008727789,48.45587708,6.347877024
1038.857152,1.97117283,1.554525132,0.695428531,1034,24.82488823,0.062748909,44.59132766,5.558850897
1046.854618,1.625353208,1.229060075,0.672478223,1042,25.3268795,0.563085794,38.2990174,4.80758884
1054.89637,1.130638943,1.881119547,1.151770898,1050,29.83156586,0.563086033,32.7093525,4.045316906
1062.893836,0.695659925,0.920027623,1.005615986,1058,34.33625412,0.563085556,32.57366926,3.235502451
1070.935954,0.901330717,3.337461132,1.639690426,1066,38.84093857,0.344508171,29.45780057,2.523742555
1078.933054,1.304513208,1.055278792,0.709530193,1074,41.59700394,-0.019788265,26.67144832,2.27914518
1086.975172,0.719103094,0.833604075,0.92291772,1082,41.43869781,-0.019787788,22.90866132,2.061654536
1093.989562,1.055309585,1.030322566,0.818212688,1090,41.28039551,1.579687595,21.19808333,1.838338395
1100.00989,0.952331925,0.932068377,0.819677371,1096,53.91789627,-0.585170746,21.3870707,2.70387869
1107.985505,0.82917434,0.693549132,0.728289235,1104,49.2365303,0.292565346,24.0837751,2.126220726
1116.00565,1.142997283,0.957218415,0.728984982,1112,51.57705307,0.292565346,25.75074062,2.373817613
1123.9809,1.046473509,1.035862189,0.826442545,1120,53.91757584,0.292565346,27.14876257,2.687172213
1132.001045,1.113400453,1.353880906,0.952735063,1128,56.2580986,0.303828716,30.39062284,3.041697143
1140.020825,1.030188679,0.782684075,0.675027544,1136,58.68872833,0.337618828,34.63314701,3.6691023
1147.99644,1.959968302,1.246904755,0.582964107,1144,61.38967896,0.337618828,38.93866696,4.332858281
1156.016585,1.76213283,1.034578868,0.544220579,1152,64.09062958,0.337617874,44.28604037,4.995688223
1163.991835,1.577719245,1.208698868,0.679553693,1160,66.79157257,-0.803852081,51.5111729,5.265520704
1172.01198,1.463917736,0.725488755,0.46863332,1168,60.36075592,-1.184342384,59.78300471,4.107451001
1179.987595,2.182547925,1.223007245,0.522567105,1176,50.88601685,-1.184342861,65.31694257,2.654079934
1188.007375,2.164004528,1.016396226,0.446479909,1184,41.41127396,-1.184342384,78.15354624,2.049164503
1195.98299,2.010231698,2.315673509,0.919004201,1192,31.93653488,-0.430704117,89.41040933,1.869460404
1204.00277,15.15166189,10.83620543,0.642723427,1200,28.49090195,-0.323041201,87.4841919,2.022824921
1211.978385,6.406753208,3.389329057,0.496745467,1208,25.90657234,-0.323041201,82.38880166,2.223590714
1219.99853,5.189639245,6.388563321,0.960436607,1216,23.32224274,-0.308041096,95.7051425,2.427940111
1228.01831,4.862500377,2.323028981,0.45341094,1224,20.85791397,-0.203039408,100.4492101,2.622012823
1235.993925,6.678252075,3.104722566,0.442352464,1232,19.23359871,-0.203039408,109.1789728,2.849995777
1244.01407,9.581382642,3.879461132,0.389629685,1240,17.60928345,-0.203039289,117.5404525,3.111135313
1251.98932,7.392967547,2.825323019,0.369215903,1248,15.98496914,-0.170925736,113.5499115,3.339207451
1260.009465,5.527501887,1.936286642,0.340214335,1256,14.61756325,-0.07458508,110.1360242,3.298702563
1267.984715,5.337378113,2.783021283,0.490403965,1264,14.02088261,-0.074584961,115.6311955,3.226806639
1276.00486,4.659788679,2.138833509,0.437243029,1272,13.42420292,-0.07458508,115.8637953,3.148514282
1283.980475,3.558516981,1.633999849,0.437400867,1280,12.82752228,0.020047665,104.0205868,3.129379026
1292.000255,3.192221132,1.496752,0.445783159,1288,12.98790359,0.11468029,109.6562871,3.207687365
1300.0204,2.47453283,1.133100528,0.436294903,1296,13.90534592,0.114680171,111.8393335,3.276427303
1307.996015,2.566258868,1.280847698,0.471627637,1304,14.82278728,0.11468029,107.7518759,3.345404011
1316.015795,2.38264,1.049111547,0.420958507,1312,15.74022961,0.072885156,107.9578237,3.37424713
1323.99141,2.395846038,1.119234415,0.444300627,1320,16.32331085,0.04780817,112.2076166,3.366958614
1332.01119,2.03134566,0.742385509,0.35407226,1328,16.70577621,0.04780817,102.3390838,3.362177797
1339.986805,1.990923019,0.833105208,0.401689973,1336,17.08824158,0.04780817,94.08178945,3.35739698
1348.00695,2.099416604,0.844278189,0.387175567,1344,17.47070694,0.206730127,90.7793563,4.229265254
1355.9822,2.147963019,0.738335245,0.33418613,1352,19.12454796,0.259703875,87.30005036,5.613810779
1364.002345,2.296810566,1.049333736,0.435392992,1360,21.20217896,0.259703875,83.22955316,7.002195122
1371.97796,2.647329811,0.945878038,0.346618692,1368,23.27980995,0.259703875,74.05639697,8.370231357
1379.99774,2.391156226,0.976009208,0.392554585,1376,25.35744095,0.623632193,63.96980183,7.822409645
1388.017885,1.981278491,1.105147019,0.520474093,1384,30.34649849,0.623632193,51.50148124,6.970161064
1395.993135,2.191809811,1.34025283,0.563614317,1392,35.33555603,0.623632431,49.54618884,6.044272707
1404.01328,2.000783396,1.385370113,0.625828698,1400,40.32461548,0.65222311,45.5193041,5.060446843
1411.988895,1.614609811,1.212910943,0.66891622,1408,45.54240036,0.852358818,41.58691306,4.238205824
1420.008675,0.761050415,0.86152317,0.90819502,1416,52.3612709,0.852359295,34.31332223,3.6640736
1427.98429,1.349292075,1.380211321,0.846203504,1424,59.18014526,0.852358818,28.36991173,3.692226927
1436.004435,1.721513962,0.852023396,0.468078419,1432,65.99901581,0.274859428,24.14192506,4.049130213
1443.979685,0.655185358,1.687038189,1.425518753,1440,68.19789124,-0.68764019,22.4361929,4.372879311
1451.99983,0.952145509,0.834022943,0.754610571,1448,62.69676971,-0.68764019,21.34103532,3.804793541
1458.014665,1.557390189,1.145603019,0.657642098,1456,57.19564819,2.902828217,19.00049943,3.143238392
1465.00989,0.821908075,1.213872604,1.0757626,1461,80.41827393,0.704361916,19.03442024,5.911127053
1472.985505,0.953375849,0.86516634,0.775090547,1469,86.05316925,1.671390533,20.84433774,6.394583933
1481.00565,1.047798038,0.955522415,0.777947665,1477,99.42429352,1.671391487,24.89787454,7.610880799
1488.9809,1.046969962,0.938716075,0.768081359,1485,112.7954254,1.671391487,27.99920574,8.243418249
1497.001045,1.088757283,0.789583849,0.650083961,1493,126.1665573,1.541926384,30.13137094,8.825856926
1505.020825,0.962572075,1.159126038,0.946638554,1501,138.5019684,1.153535843,32.71177541,9.465837257
1512.99644,1.136434415,0.729205736,0.587209634,1509,147.7302551,1.15353775,36.88161213,10.14379529
1521.016585,1.709367547,0.984380528,0.535167737,1517,156.9585571,1.153535843,37.46068881,10.86896272
1528.991835,1.322448302,0.915020528,0.625454849,1525,166.1868439,-2.161682129,42.07391897,11.5146872
1537.01198,0.966886038,0.926434717,0.807045894,1533,148.8933868,-3.266752243,51.26161265,11.41248656
1544.987595,1.504232453,1.570352453,0.858539141,1541,122.7593689,-3.266753197,61.50569727,9.77157491
1553.007375,1.92333283,0.953848,0.468934416,1549,96.62534332,-3.266753197,67.51694939,8.010196259
1560.98299,1.956622642,1.075609811,0.513863428,1557,70.49131775,-1.396944523,75.1903212,4.660030587
1569.00277,2.000744151,1.54733766,0.684709329,1565,59.31576157,-1.12982893,78.83196244,3.516718053
1576.978385,2.958113208,3.612031547,0.95534209,1573,50.27713013,-1.12982893,80.99804845,2.660828225
1584.99853,3.851649811,2.327424755,0.557903163,1581,41.23849869,-1.034572601,79.03306439,2.63594903
1593.01831,6.22514566,2.557812226,0.394967692,1589,32.96191788,-0.367778063,90.12516926,2.7068812
1600.993925,4.982365283,2.112347925,0.406570229,1597,30.01969337,-0.367778063,107.8972508,2.865807006
1609.01407,4.402251321,1.605038642,0.353279977,1605,27.07746887,-0.367778063,112.8448432,3.056876206
1616.98932,6.00912,2.906850415,0.458545867,1613,24.13524437,-0.355288267,107.2430637,3.221419517
1625.009465,3.593474717,1.790433509,0.470894502,1621,21.29293823,-0.317818165,108.7670773,3.161055005
1632.984715,4.113190189,1.395075472,0.329981293,1629,18.75039291,-0.317818403,102.4214629,3.12412897
1641.00486,3.802642264,1.571065962,0.396984402,1637,16.20784569,-0.317818284,100.764189,3.103001723
1648.980475,3.489612075,1.353015547,0.374233279,1645,13.66529942,-0.159937263,108.7307335,3.118528461
1657.000255,3.823491321,1.673298113,0.418610024,1653,12.38580132,-0.002056122,112.1421979,3.21540787
1665.0204,2.792596226,2.13721766,0.67899267,1661,12.36935234,-0.002056003,113.7582822,3.295924511
1672.996015,2.496156981,1.688881057,0.613932359,1669,12.35290432,-0.002056122,110.7005634,3.376436896
1681.015795,3.016274717,1.576201208,0.491360384,1677,12.33645535,0.084483504,117.4483817,3.416794308
1688.99141,2.722759245,1.336898868,0.464746997,1685,13.01232338,0.136407137,114.6717211,3.408345958
1697.01119,2.513473962,1.172816453,0.443830606,1693,14.10358047,0.136407256,109.6029829,3.394705244
1704.986805,2.668483019,1.025877887,0.371272829,1701,15.19483852,0.136407256,96.77607093,3.381064518
1713.00695,2.316472453,0.989561057,0.409413587,1709,16.28609657,0.289772749,83.13505948,4.243362117
1720.9822,3.099180377,0.942043472,0.297275087,1717,18.60427856,0.340894461,79.93438876,5.619502526
1729.002345,2.846401509,0.941171472,0.322114195,1725,21.33143425,0.340894699,76.92755125,7.001431224
1736.97796,2.246311698,0.821998038,0.354497833,1733,24.05859184,0.340894461,77.04142826,8.359751549
1744.99774,2.268495094,1.317421585,0.539099235,1741,26.78574753,0.148671865,67.4369932,7.803486887
1753.017885,1.895959245,1.067193358,0.524622155,1749,27.97512245,0.148671865,58.79445539,7.002096845
1760.993135,1.889552453,1.048346113,0.518033517,1757,29.16449738,0.148671865,51.46756043,6.203837546
1769.01328,1.260372075,0.961816604,0.677431586,1765,30.3538723,0.280091047,49.93870107,5.399950648
1776.988895,1.441567547,1.091641509,0.673250378,1773,32.59460068,1.200025082,40.42149095,4.608469736
1785.008675,1.162896604,2.055546868,1.190349068,1781,42.19480133,1.200025558,32.81596076,3.671104981
