lon,lat,w_median,w_lb68,w_ub68,w_lb95,w_ub95
33.5,-23.5,0.756642,0.7188099,0.7944741,0.6809778,0.8323062
-49.5,-26.5,0.770531,0.73200445,0.80905755,0.6934779,0.8475841
-74.5,-11.5,0.771095,0.73254025,0.80964975,0.6939855,0.8482045
116.5,51.5,0.776376,0.7375572,0.8151948,0.6987384,0.8540136
38.5,58.5,0.779283,0.74031885,0.81824715,0.7013547,0.8572113
-73.5,42.5,0.786898,0.7475531,0.8262429,0.7082082,0.8655878
23.5,-22.5,0.788695,0.74926025,0.82812975,0.7098255,0.8675645
65.5,50.5,0.792537,0.75291015,0.83216385,0.7132833,0.8717907
-8.5,41.5,0.802676,0.7625422,0.8428098,0.7224084,0.8829436
40.5,57.5,0.802751,0.76261345,0.84288855,0.7224759,0.8830261
76.5,14.5,0.802864,0.7627208,0.8430072,0.7225776,0.8831504
147.5,-24.5,0.81066,0.770127,0.851193,0.729594,0.891726
16.5,9.5,0.814997,0.77424715,0.85574685,0.7334973,0.8964967
-2.5,57.5,0.826399,0.78507905,0.86771895,0.7437591,0.9090389
86.5,46.5,0.829484,0.7880098,0.8709582,0.7465356,0.9124324
-47.5,-22.5,0.831338,0.7897711,0.8729049,0.7482042,0.9144718
48.5,36.5,0.831675,0.79009125,0.87325875,0.7485075,0.9148425
75.5,32.5,0.832477,0.79085315,0.87410085,0.7492293,0.9157247
94.5,56.5,0.837723,0.79583685,0.87960915,0.7539507,0.9214953
30.5,1.5,0.848655,0.80622225,0.89108775,0.7637895,0.9335205
14.5,12.5,0.848987,0.80653765,0.89143635,0.7640883,0.9338857
69.5,41.5,0.85039,0.8078705,0.8929095,0.765351,0.935429
23.5,-33.5,0.851282,0.8087179,0.8938461,0.7661538,0.9364102
-92.5,46.5,0.852818,0.8101771,0.8954589,0.7675362,0.9380998
107.5,21.5,0.854305,0.81158975,0.89702025,0.7688745,0.9397355
34.5,59.5,0.858677,0.81574315,0.90161085,0.7728093,0.9445447
150.5,-25.5,0.86002,0.817019,0.903021,0.774018,0.946022
66.5,36.5,0.869334,0.8258673,0.9128007,0.7824006,0.9562674
44.5,37.5,0.869471,0.82599745,0.91294455,0.7825239,0.9564181
21.5,-32.5,0.872306,0.8286907,0.9159213,0.7850754,0.9595366
