Lon,Lat,wheat
-54.5,-20.5,1.075198
25.5,12.5,1.081969
-59.5,-17.5,1.088727
139.5,38.5,1.090012
77.5,19.5,1.090463
135.5,-34.5,1.095184
52.5,52.5,1.095266
54.5,51.5,1.095712
75.5,54.5,1.102545
46.5,31.5,1.110601
-61.5,-16.5,1.11968
27.5,-30.5,1.121826
27.5,-8.5,1.126276
32.5,10.5,1.126615
151.5,-25.5,1.132137
15.5,-5.5,1.138598
7.5,43.5,1.1426
106.5,36.5,1.14272
62.5,56.5,1.144229
-56.5,-22.5,1.15222
69.5,56.5,1.153606
-7.5,32.5,1.162796
-97.5,18.5,1.166331
132.5,44.5,1.166681
53.5,27.5,1.167134
45.5,50.5,1.167344
116.5,29.5,1.171164
31.5,0.5,1.174218
38.5,11.5,1.176734
-81.5,44.5,1.18032
58.5,52.5,1.185037
94.5,21.5,1.1948
23.5,12.5,1.198308
90.5,32.5,1.205388
114.5,24.5,1.209466
88.5,30.5,1.212726
52.5,30.5,1.216945
-105.5,26.5,1.219532
43.5,2.5,1.22095
-102.5,23.5,1.226341
85.5,20.5,1.233509
95.5,24.5,1.234308
38.5,0.5,1.240141
113.5,45.5,1.247988
-75.5,-12.5,1.26239
85.5,35.5,1.266143
25.5,-11.5,1.2688
-105.5,37.5,1.271621
-92.5,35.5,1.272956
-100.5,45.5,1.284759
118.5,26.5,1.285059
18.5,-21.5,1.285341
3.5,10.5,1.286674
31.5,53.5,1.292079
109.5,29.5,1.293117
41.5,41.5,1.299723
50.5,57.5,1.300382
-102.5,45.5,1.315664
143.5,-16.5,1.32002
-51.5,-27.5,1.322483
44.5,19.5,1.324672
36.5,-1.5,1.332382
55.5,55.5,1.33927
106.5,25.5,1.341233
35.5,46.5,1.347419
-55.5,-21.5,1.358889
84.5,20.5,1.359116
79.5,51.5,1.362666
145.5,-32.5,1.371321
21.5,-10.5,1.372216
100.5,23.5,1.377
113.5,23.5,1.395272
127.5,42.5,1.399499
-75.5,46.5,1.401696
115.5,-30.5,1.403676
77.5,30.5,1.412298
83.5,22.5,1.413279
93.5,27.5,1.426224
-104.5,44.5,1.436823
8.5,13.5,1.461907
-54.5,-31.5,1.471029
20.5,-8.5,1.479415
10.5,6.5,1.486599
40.5,6.5,1.486866
35.5,-2.5,1.489602
21.5,-21.5,1.497038
71.5,33.5,1.502285
14.5,-10.5,1.504466
85.5,47.5,1.504839
25.5,-22.5,1.505657
48.5,52.5,1.510169
116.5,-33.5,1.518792
51.5,55.5,1.519763
-53.5,-29.5,1.527216
34.5,48.5,1.528396
33.5,11.5,1.531388
19.5,-9.5,1.548472
-66.5,-28.5,1.571812
-101.5,29.5,1.598146
34.5,-0.5,1.60134
94.5,32.5,1.607684
-99.5,50.5,1.608566
-95.5,41.5,1.608901
-100.5,34.5,1.615413
110.5,25.5,1.627722
143.5,-38.5,1.629614
-57.5,-23.5,1.631097
92.5,43.5,1.640045
5.5,9.5,1.6421
-52.5,-24.5,1.65726
23.5,56.5,1.673191
-101.5,51.5,1.675911
16.5,-12.5,1.681467
21.5,13.5,1.684097
4.5,11.5,1.68689
17.5,10.5,1.688312
28.5,47.5,1.69951
77.5,41.5,1.700449
33.5,0.5,1.706892
37.5,-1.5,1.70791
-89.5,31.5,1.709062
46.5,42.5,1.721933
23.5,-11.5,1.725721
71.5,22.5,1.729425
26.5,-15.5,1.76024
-100.5,23.5,1.760488
-110.5,48.5,1.767704
22.5,-26.5,1.774991
37.5,47.5,1.78551
81.5,24.5,1.785546
74.5,25.5,1.790628
49.5,31.5,1.79721
-105.5,48.5,1.797811
19.5,13.5,1.798636
110.5,36.5,1.806221
20.5,13.5,1.80732
-57.5,-34.5,1.810367
18.5,11.5,1.811106
-114.5,37.5,1.811199
7.5,9.5,1.811665
30.5,-9.5,1.820259
9.5,13.5,1.822135
-109.5,48.5,1.82475
96.5,31.5,1.825665
60.5,36.5,1.830886
-107.5,50.5,1.833181
44.5,48.5,1.834772
-59.5,-28.5,1.839302
-106.5,50.5,1.843014
-108.5,49.5,1.844568
73.5,25.5,1.846108
107.5,32.5,1.858203
6.5,13.5,1.86212
46.5,53.5,1.87155
26.5,55.5,1.876019
149.5,-31.5,1.888852
24.5,-28.5,1.898185
-65.5,45.5,1.912259
23.5,45.5,1.912575
45.5,-17.5,1.913122
-51.5,-16.5,1.917211
-99.5,28.5,1.923149
-117.5,55.5,1.936127
50.5,35.5,1.938632
144.5,-37.5,1.944104
-109.5,37.5,1.955187
-71.5,-52.5,1.957721
128.5,36.5,1.959759
-93.5,42.5,1.960769
-83.5,41.5,1.963718
28.5,-17.5,1.969481
-65.5,-32.5,1.969526
-64.5,-33.5,1.96995
-63.5,-33.5,1.96995
45.5,39.5,1.973129
-83.5,30.5,1.973861
-58.5,-32.5,1.984792
72.5,26.5,1.987545
22.5,40.5,1.988678
21.5,56.5,1.990575
-102.5,34.5,1.99169
-55.5,-32.5,1.996774
66.5,25.5,2.003575
78.5,24.5,2.026147
31.5,37.5,2.039015
19.5,-20.5,2.045135
-103.5,39.5,2.046802
43.5,49.5,2.049619
75.5,21.5,2.052224
-111.5,46.5,2.057533
9.5,46.5,2.066207
33.5,37.5,2.069451
122.5,40.5,2.071388
-3.5,38.5,2.071523
79.5,28.5,2.079399
126.5,46.5,2.08087
39.5,53.5,2.082336
69.5,30.5,2.092482
28.5,-28.5,2.094449
-70.5,-52.5,2.094833
19.5,48.5,2.098423
47.5,-21.5,2.099403
-103.5,50.5,2.11717
-98.5,33.5,2.125859
41.5,52.5,2.155816
-114.5,48.5,2.158771
117.5,30.5,2.162465
29.5,51.5,2.172962
115.5,43.5,2.17619
29.5,36.5,2.178318
18.5,48.5,2.182482
-62.5,-32.5,2.189243
-96.5,47.5,2.194455
-68.5,45.5,2.222659
76.5,25.5,2.225853
82.5,26.5,2.233448
21.5,45.5,2.26802
-2.5,40.5,2.287112
140.5,38.5,2.288508
18.5,-33.5,2.292288
33.5,50.5,2.29434
98.5,27.5,2.307768
92.5,30.5,2.311648
124.5,47.5,2.313142
-61.5,-27.5,2.314747
146.5,-34.5,2.319192
-98.5,44.5,2.331989
102.5,23.5,2.343394
10.5,54.5,2.345758
117.5,41.5,2.356635
70.5,26.5,2.369665
32.5,-24.5,2.374891
147.5,-35.5,2.384951
32.5,50.5,2.394207
14.5,47.5,2.407914
125.5,42.5,2.418234
-115.5,33.5,2.44162
133.5,34.5,2.444068
-104.5,33.5,2.444474
148.5,-34.5,2.45972
20.5,-19.5,2.481515
-112.5,45.5,2.483409
118.5,49.5,2.489422
-97.5,33.5,2.492906
109.5,40.5,2.495446
38.5,47.5,2.500309
24.5,42.5,2.515163
78.5,35.5,2.576032
-60.5,-34.5,2.582984
25.5,-33.5,2.597589
97.5,37.5,2.599916
130.5,45.5,2.603224
-88.5,33.5,2.608666
111.5,34.5,2.616598
-101.5,40.5,2.634728
-4.5,42.5,2.647059
-97.5,44.5,2.654956
99.5,26.5,2.660514
30.5,29.5,2.664983
-61.5,-38.5,2.678861
-113.5,27.5,2.690928
26.5,44.5,2.691475
89.5,46.5,2.702356
108.5,30.5,2.708188
-119.5,44.5,2.724783
-81.5,33.5,2.728404
27.5,47.5,2.739295
102.5,34.5,2.739736
